0.000000000000000000e+00 9.999000000000000000e+04 0.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00
1.000000000000000000e+00 9.996600000000000000e+04 2.400000000000000000e+01 1.000000000000000000e+01 0.000000000000000000e+00
2.000000000000000000e+00 9.994000000000000000e+04 5.000000000000000000e+01 1.000000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+00 9.991500000000000000e+04 7.500000000000000000e+01 1.000000000000000000e+01 0.000000000000000000e+00
4.000000000000000000e+00 9.988900000000000000e+04 1.010000000000000000e+02 1.000000000000000000e+01 0.000000000000000000e+00
5.000000000000000000e+00 9.986300000000000000e+04 1.250000000000000000e+02 1.200000000000000000e+01 0.000000000000000000e+00
6.000000000000000000e+00 9.982900000000000000e+04 1.550000000000000000e+02 1.600000000000000000e+01 0.000000000000000000e+00
7.000000000000000000e+00 9.975200000000000000e+04 2.190000000000000000e+02 2.900000000000000000e+01 0.000000000000000000e+00
8.000000000000000000e+00 9.964600000000000000e+04 3.080000000000000000e+02 4.600000000000000000e+01 0.000000000000000000e+00
9.000000000000000000e+00 9.949300000000000000e+04 4.270000000000000000e+02 7.800000000000000000e+01 2.000000000000000000e+00
1.000000000000000000e+01 9.923800000000000000e+04 6.530000000000000000e+02 1.060000000000000000e+02 3.000000000000000000e+00
1.100000000000000000e+01 9.894700000000000000e+04 9.190000000000000000e+02 1.310000000000000000e+02 3.000000000000000000e+00
1.200000000000000000e+01 9.858100000000000000e+04 1.243000000000000000e+03 1.720000000000000000e+02 4.000000000000000000e+00
1.300000000000000000e+01 9.809400000000000000e+04 1.670000000000000000e+03 2.280000000000000000e+02 8.000000000000000000e+00
1.400000000000000000e+01 9.733600000000000000e+04 2.313000000000000000e+03 3.420000000000000000e+02 9.000000000000000000e+00
1.500000000000000000e+01 9.629200000000000000e+04 3.185000000000000000e+03 5.110000000000000000e+02 1.200000000000000000e+01
1.600000000000000000e+01 9.477200000000000000e+04 4.480000000000000000e+03 7.350000000000000000e+02 1.300000000000000000e+01
1.700000000000000000e+01 9.279900000000000000e+04 6.155000000000000000e+03 1.029000000000000000e+03 1.700000000000000000e+01
1.800000000000000000e+01 9.030400000000000000e+04 8.295000000000000000e+03 1.376000000000000000e+03 2.500000000000000000e+01
1.900000000000000000e+01 8.707100000000000000e+04 1.102900000000000000e+04 1.857000000000000000e+03 4.300000000000000000e+01
2.000000000000000000e+01 8.271800000000000000e+04 1.463700000000000000e+04 2.578000000000000000e+03 6.700000000000000000e+01
2.100000000000000000e+01 7.762500000000000000e+04 1.870500000000000000e+04 3.568000000000000000e+03 1.020000000000000000e+02
2.200000000000000000e+01 7.127200000000000000e+04 2.364000000000000000e+04 4.949000000000000000e+03 1.390000000000000000e+02
2.300000000000000000e+01 6.381600000000000000e+04 2.914100000000000000e+04 6.858000000000000000e+03 1.850000000000000000e+02
2.400000000000000000e+01 5.531100000000000000e+04 3.516700000000000000e+04 9.281000000000000000e+03 2.410000000000000000e+02
2.500000000000000000e+01 4.640700000000000000e+04 4.094200000000000000e+04 1.232200000000000000e+04 3.290000000000000000e+02
2.600000000000000000e+01 3.753800000000000000e+04 4.580700000000000000e+04 1.617100000000000000e+04 4.840000000000000000e+02
2.700000000000000000e+01 2.863200000000000000e+04 4.960400000000000000e+04 2.107900000000000000e+04 6.850000000000000000e+02
2.800000000000000000e+01 2.094600000000000000e+04 5.128000000000000000e+04 2.680900000000000000e+04 9.650000000000000000e+02
2.900000000000000000e+01 1.443000000000000000e+04 5.062000000000000000e+04 3.359900000000000000e+04 1.351000000000000000e+03
3.000000000000000000e+01 9.398000000000000000e+03 4.759900000000000000e+04 4.111700000000000000e+04 1.886000000000000000e+03
3.100000000000000000e+01 5.619000000000000000e+03 4.277600000000000000e+04 4.902900000000000000e+04 2.576000000000000000e+03
3.200000000000000000e+01 3.153000000000000000e+03 3.663200000000000000e+04 5.668500000000000000e+04 3.530000000000000000e+03
3.300000000000000000e+01 1.661000000000000000e+03 2.960700000000000000e+04 6.387100000000000000e+04 4.861000000000000000e+03
3.400000000000000000e+01 8.360000000000000000e+02 2.258400000000000000e+04 6.999700000000000000e+04 6.583000000000000000e+03
3.500000000000000000e+01 4.000000000000000000e+02 1.630000000000000000e+04 7.445900000000000000e+04 8.841000000000000000e+03
3.600000000000000000e+01 1.940000000000000000e+02 1.108500000000000000e+04 7.686200000000000000e+04 1.185900000000000000e+04
3.700000000000000000e+01 7.000000000000000000e+01 7.108000000000000000e+03 7.730100000000000000e+04 1.552100000000000000e+04
3.800000000000000000e+01 2.500000000000000000e+01 4.237000000000000000e+03 7.561500000000000000e+04 2.012300000000000000e+04
3.900000000000000000e+01 6.000000000000000000e+00 2.335000000000000000e+03 7.190000000000000000e+04 2.575900000000000000e+04
4.000000000000000000e+01 0.000000000000000000e+00 1.236000000000000000e+03 6.644300000000000000e+04 3.232100000000000000e+04
4.100000000000000000e+01 0.000000000000000000e+00 6.340000000000000000e+02 5.980500000000000000e+04 3.956100000000000000e+04
4.200000000000000000e+01 0.000000000000000000e+00 3.010000000000000000e+02 5.222300000000000000e+04 4.747600000000000000e+04
4.300000000000000000e+01 0.000000000000000000e+00 1.200000000000000000e+02 4.430900000000000000e+04 5.557100000000000000e+04
